"country","ccode","AC","ACse"
"United States",2,-16.9204946590058,1.12473490091287
"Canada",20,-16.7618497033902,2.81019514429686
"Cuba",40,-14.8022404377753,6.62180314414192
"Haiti",41,-17.2219290258094,2.82845402265968
"Dominican Rep",42,-22.3350779178036,2.37434280091971
"Honduras",91,-19.9368335602675,2.17062736848428
"El Salvador",92,-16.3331618360914,2.98984687552588
"Nicaragua",93,-16.550377468349,2.30158657606647
"Costa Rica",94,-17.5498328397296,3.97995046660764
"Colombia",100,-19.8836333492572,3.0775720492189
"Venezuela",101,-15.8026835960841,1.68068087229353
"Guyana",110,-16.3522603461399,4.29093262544208
"Suriname",115,-20.2190839318218,3.3852715318328
"Ecuador",130,-19.4236941220019,2.85087569520335
"Peru",135,-19.3429501128045,4.44418267154962
"Brazil",140,-19.4275164086518,3.00741967336177
"Chile",155,-13.5200796271956,4.88109519918797
"Argentina",160,-18.5362198939984,1.57270859091885
"United Kingdom",200,-16.3008682021421,1.95099993506476
"Netherlands",210,-16.4709282571651,3.79881917155577
"Belgium",211,-16.2906143627287,3.94952791303652
"France",220,-17.92022813389,1.06048343452411
"Spain",230,-17.2299221491619,3.55609666222908
"Portugal",235,-16.4288752447623,4.12805564466397
"Germany",255,-15.5808281924059,1.81843146382478
"Poland",290,-12.0394550984821,3.60812701667969
"Hungary",310,-17.2324539773014,2.1174495796328
"Italy",325,-18.1471328803049,2.04180104965714
"Albania",339,-8.94691655563013,0.868107133820265
"Croatia",344,-13.3898174455637,1.90386137768877
"Yugoslavia",345,-12.8276036586234,1.10248378991863
"Bosnia",346,-10.0420847936891,2.32297201080829
"Slovenia",349,-16.4797844775378,2.43004645603021
"Greece",350,-9.21979198843574,0.82183034495542
"Cyprus",352,-33.8694481800206,3.01894609923158
"Bulgaria",355,-11.4206656112962,5.56376602236471
"Moldova",359,-15.1501664585966,1.71993275029737
"Romania",360,-14.0827786779109,3.48768228632894
"Russia",365,-16.2191453854856,1.10222403479903
"Latvia",367,-11.7224397031276,4.20420182665054
"Lithuania",368,-14.8842898828015,3.89598692982849
"Ukraine",369,-14.2866067634631,2.19996871994927
"Belarus",370,-17.8120974748179,3.42390386210054
"Armenia",371,-2.90431281125527,0.929703868414487
"Georgia",372,-10.9011676943688,3.2319984294355
"Azerbaijan",373,-2.63643405627595,0.927091703234707
"Norway",385,-21.4702769342883,1.34087820811106
"Denmark",390,-18.746345071879,3.21723861310346
"Gambia",420,-18.4725635731347,4.55637599269451
"Mali",432,-18.6260078471093,1.91246227589155
"Senegal",433,-19.9185155532645,1.52140471492133
"Benin",434,-2.46306524356175,8.80024866178309
"Mauritania",435,-16.1160743585986,5.73475335204345
"Niger",436,-18.7108254494318,2.13015493018527
"Ivory Coast",437,-19.2758380063435,1.38417068019854
"Guinea",438,-19.6895778420781,1.32263615079182
"Liberia",450,-17.2695194704284,1.6193996600084
"Sierra Leone",451,-18.182609281343,1.47963395131276
"Ghana",452,-18.3103606239344,13.3525640402683
"Togo",461,-18.6592246803169,9.00719338685838
"Cameroon",471,-4.03297059270487,2.3595279558791
