ccode1,ccode2,defense,neutrality,nonaggression,entente,year
200,235,1,0,1,0,1993
130,145,0,1,1,0,1993
145,150,0,0,1,0,1993
100,101,0,0,1,0,1993
435,520,0,0,1,1,1993
435,522,0,0,1,1,1993
435,600,0,0,1,1,1993
435,615,0,0,1,1,1993
435,616,0,0,1,1,1993
435,620,0,0,1,1,1993
435,625,0,0,1,1,1993
435,645,0,0,1,1,1993
435,651,0,0,1,1,1993
435,652,0,0,1,1,1993
435,660,0,0,1,1,1993
435,663,0,0,1,1,1993
435,670,0,0,1,1,1993
435,679,0,0,1,1,1993
435,690,0,0,1,1,1993
435,692,0,0,1,1,1993
435,694,0,0,1,1,1993
435,696,0,0,1,1,1993
435,698,0,0,1,1,1993
520,522,0,0,1,1,1993
520,600,0,0,1,1,1993
520,615,0,0,1,1,1993
520,616,0,0,1,1,1993
520,620,0,0,1,1,1993
520,625,0,0,1,1,1993
520,645,0,0,1,1,1993
520,651,0,0,1,1,1993
520,652,0,0,1,1,1993
520,660,0,0,1,1,1993
520,663,0,0,1,1,1993
520,670,0,0,1,1,1993
520,679,0,0,1,1,1993
520,690,0,0,1,1,1993
520,692,0,0,1,1,1993
520,694,0,0,1,1,1993
520,696,0,0,1,1,1993
520,698,0,0,1,1,1993
522,600,0,0,1,1,1993
522,615,0,0,1,1,1993
522,616,0,0,1,1,1993
522,620,0,0,1,1,1993
522,625,0,0,1,1,1993
522,645,0,0,1,1,1993
522,651,0,0,1,1,1993
522,652,0,0,1,1,1993
522,660,0,0,1,1,1993
522,663,0,0,1,1,1993
522,670,0,0,1,1,1993
522,679,0,0,1,1,1993
522,690,0,0,1,1,1993
522,692,0,0,1,1,1993
522,694,0,0,1,1,1993
522,696,0,0,1,1,1993
522,698,0,0,1,1,1993
600,615,0,0,1,1,1993
600,616,0,0,1,1,1993
600,620,0,0,1,1,1993
600,625,0,0,1,1,1993
600,645,0,0,1,1,1993
600,651,0,0,1,1,1993
600,652,0,0,1,1,1993
600,660,0,0,1,1,1993
600,663,0,0,1,1,1993
600,670,0,0,1,1,1993
600,679,0,0,1,1,1993
600,690,0,0,1,1,1993
600,692,0,0,1,1,1993
600,694,0,0,1,1,1993
600,696,0,0,1,1,1993
600,698,0,0,1,1,1993
615,616,0,0,1,1,1993
615,620,0,0,1,1,1993
615,625,0,0,1,1,1993
615,645,0,0,1,1,1993
615,651,0,0,1,1,1993
615,652,0,0,1,1,1993
615,660,0,0,1,1,1993
615,663,0,0,1,1,1993
615,670,0,0,1,1,1993
615,679,0,0,1,1,1993
615,690,0,0,1,1,1993
615,692,0,0,1,1,1993
615,694,0,0,1,1,1993
615,696,0,0,1,1,1993
615,698,0,0,1,1,1993
616,620,0,0,1,1,1993
616,625,0,0,1,1,1993
616,645,0,0,1,1,1993
616,651,0,0,1,1,1993
616,652,0,0,1,1,1993
616,660,0,0,1,1,1993
616,663,0,0,1,1,1993
616,670,0,0,1,1,1993
616,679,0,0,1,1,1993
616,690,0,0,1,1,1993
616,692,0,0,1,1,1993
616,694,0,0,1,1,1993
616,696,0,0,1,1,1993
616,698,0,0,1,1,1993
620,625,0,0,1,1,1993
620,645,0,0,1,1,1993
620,651,0,0,1,1,1993
620,652,0,0,1,1,1993
620,660,0,0,1,1,1993
620,663,0,0,1,1,1993
620,670,0,0,1,1,1993
620,679,0,0,1,1,1993
620,690,0,0,1,1,1993
620,692,0,0,1,1,1993
620,694,0,0,1,1,1993
620,696,0,0,1,1,1993
620,698,0,0,1,1,1993
625,645,0,0,1,1,1993
625,651,0,0,1,1,1993
625,652,0,0,1,1,1993
625,660,0,0,1,1,1993
625,663,0,0,1,1,1993
625,670,0,0,1,1,1993
625,679,0,0,1,1,1993
625,690,0,0,1,1,1993
625,692,0,0,1,1,1993
625,694,0,0,1,1,1993
625,696,0,0,1,1,1993
625,698,0,0,1,1,1993
645,651,0,0,1,1,1993
645,652,0,0,1,1,1993
645,660,0,0,1,1,1993
645,663,0,0,1,1,1993
645,670,0,0,1,1,1993
645,679,0,0,1,1,1993
645,690,0,0,1,1,1993
645,692,0,0,1,1,1993
645,694,0,0,1,1,1993
645,696,0,0,1,1,1993
645,698,0,0,1,1,1993
651,652,0,0,1,1,1993
651,660,0,0,1,1,1993
651,663,0,0,1,1,1993
651,670,0,0,1,1,1993
651,679,0,0,1,1,1993
651,690,0,0,1,1,1993
