ccode1,ccode2,year
2,20,1993
2,31,1993
2,40,1993
2,41,1993
2,42,1993
2,51,1993
2,52,1993
2,53,1993
2,54,1993
2,55,1993
2,56,1993
2,57,1993
2,58,1993
2,60,1993
2,70,1993
2,80,1993
2,90,1993
2,91,1993
2,92,1993
2,93,1993
2,94,1993
2,95,1993
2,100,1993
2,101,1993
2,110,1993
2,115,1993
2,130,1993
2,135,1993
2,140,1993
2,145,1993
2,150,1993
2,155,1993
2,160,1993
2,165,1993
2,200,1993
2,205,1993
2,210,1993
2,211,1993
2,212,1993
2,220,1993
2,221,1993
2,223,1993
2,225,1993
2,230,1993
2,232,1993
2,235,1993
2,255,1993
2,290,1993
2,305,1993
2,310,1993
2,316,1993
2,317,1993
2,325,1993
2,331,1993
2,338,1993
2,339,1993
2,343,1993
2,344,1993
2,345,1993
2,346,1993
2,349,1993
2,350,1993
2,352,1993
2,355,1993
2,359,1993
2,360,1993
2,365,1993
2,366,1993
2,367,1993
2,368,1993
2,369,1993
2,370,1993
2,371,1993
2,372,1993
2,373,1993
2,375,1993
2,380,1993
2,385,1993
2,390,1993
2,395,1993
2,402,1993
2,403,1993
2,404,1993
2,411,1993
2,420,1993
2,432,1993
2,433,1993
2,434,1993
2,435,1993
2,436,1993
2,437,1993
2,438,1993
2,439,1993
2,450,1993
2,451,1993
2,452,1993
2,461,1993
2,471,1993
2,475,1993
2,481,1993
2,482,1993
2,483,1993
2,484,1993
2,490,1993
2,500,1993
2,501,1993
2,510,1993
2,516,1993
2,517,1993
2,520,1993
2,522,1993
2,530,1993
2,531,1993
2,540,1993
2,541,1993
2,551,1993
2,552,1993
2,553,1993
2,560,1993
2,565,1993
2,570,1993
2,571,1993
2,572,1993
2,580,1993
2,581,1993
2,590,1993
2,591,1993
2,600,1993
2,615,1993
2,616,1993
2,620,1993
2,625,1993
2,630,1993
2,640,1993
2,645,1993
2,651,1993
2,652,1993
2,660,1993
2,663,1993
2,666,1993
2,670,1993
2,679,1993
2,690,1993
2,692,1993
2,694,1993
2,696,1993
2,698,1993
2,700,1993
2,701,1993
2,702,1993
2,703,1993
2,704,1993
2,705,1993
2,710,1993
2,712,1993
2,713,1993
2,731,1993
2,732,1993
2,740,1993
2,750,1993
2,760,1993
2,770,1993
2,771,1993
2,775,1993
2,780,1993
2,781,1993
2,790,1993
2,800,1993
2,811,1993
2,812,1993
2,816,1993
2,820,1993
2,830,1993
2,835,1993
2,840,1993
2,850,1993
2,900,1993
2,910,1993
2,920,1993
2,935,1993
2,940,1993
2,950,1993
2,983,1993
2,987,1993
2,990,1993
20,2,1993
20,200,1993
20,220,1993
20,255,1993
20,365,1993
20,710,1993
20,740,1993
31,2,1993
31,200,1993
31,220,1993
31,255,1993
31,365,1993
31,710,1993
31,740,1993
40,2,1993
40,200,1993
40,220,1993
40,255,1993
40,365,1993
40,710,1993
40,740,1993
41,2,1993
41,42,1993
41,200,1993
41,220,1993
41,255,1993
41,365,1993
41,710,1993
41,740,1993
42,2,1993
42,41,1993
42,200,1993
42,220,1993
42,255,1993
42,365,1993
42,710,1993
42,740,1993
51,2,1993
51,200,1993
51,220,1993
51,255,1993
51,365,1993
51,710,1993
51,740,1993
52,2,1993
52,200,1993
52,220,1993
52,255,1993
52,365,1993
52,710,1993
52,740,1993
53,2,1993
53,200,1993
53,220,1993
53,255,1993
53,365,1993
53,710,1993
53,740,1993
54,2,1993
54,200,1993
54,220,1993
54,255,1993
54,365,1993
54,710,1993
54,740,1993
55,2,1993
55,200,1993
55,220,1993
55,255,1993
55,365,1993
55,710,1993
55,740,1993
56,2,1993
56,200,1993
56,220,1993
56,255,1993
56,365,1993
56,710,1993
56,740,1993
57,2,1993
57,200,1993
57,220,1993
57,255,1993
57,365,1993
57,710,1993
57,740,1993
58,2,1993
58,200,1993
58,220,1993
58,255,1993
58,365,1993
58,710,1993
58,740,1993
60,2,1993
60,200,1993
60,220,1993
60,255,1993
60,365,1993
60,710,1993
60,740,1993
70,2,1993
70,80,1993
70,90,1993
70,200,1993
70,220,1993
70,255,1993
70,365,1993
70,710,1993
70,740,1993
80,2,1993
80,70,1993
80,90,1993
80,200,1993
80,220,1993
80,255,1993
80,365,1993
80,710,1993
80,740,1993
90,2,1993
90,70,1993
90,80,1993
90,91,1993
90,92,1993
90,200,1993
90,220,1993
90,255,1993
90,365,1993
90,710,1993
90,740,1993
91,2,1993
91,90,1993
91,92,1993
91,93,1993
91,200,1993
91,220,1993
91,255,1993
91,365,1993
91,710,1993
91,740,1993
92,2,1993
92,90,1993
92,91,1993
92,200,1993
92,220,1993
92,255,1993
92,365,1993
92,710,1993
92,740,1993
93,2,1993
93,91,1993
93,94,1993
93,200,1993
93,220,1993
93,255,1993
93,365,1993
93,710,1993
93,740,1993
94,2,1993
94,93,1993
94,95,1993
94,200,1993
