ccode1,ccode2,year,distance
2,20,1993,455
2,31,1993,957
2,40,1993,1129
2,41,1993,1437
2,42,1993,1477
2,51,1993,1447
2,52,1993,2176
2,53,1993,2079
2,54,1993,1889
2,55,1993,2082
2,56,1993,1981
2,57,1993,2028
2,58,1993,1764
2,60,1993,1726
2,70,1993,1887
2,80,1993,1658
2,90,1993,1870
2,91,1993,1826
2,92,1993,1896
2,93,1993,1936
2,94,1993,2052
2,95,1993,2077
2,100,1993,2380
2,101,1993,2062
2,110,1993,2513
2,115,1993,2665
2,130,1993,2708
2,135,1993,3525
2,140,1993,4225
2,145,1993,3875
2,150,1993,4612
2,155,1993,5021
2,160,1993,5217
2,165,1993,5274
2,200,1993,3668
2,205,1993,3384
2,210,1993,3850
2,211,1993,3865
2,212,1993,3970
2,220,1993,3832
2,221,1993,4200
2,223,1993,4184
2,225,1993,4104
2,230,1993,3787
2,232,1993,3971
2,235,1993,3567
2,255,1993,4172
2,290,1993,4462
2,305,1993,4428
2,310,1993,4562
2,316,1993,4291
2,317,1993,4461
2,325,1993,4487
2,331,1993,4414
2,338,1993,4801
2,339,1993,4827
2,343,1993,4869
2,344,1993,4499
2,345,1993,4719
2,346,1993,4670
2,349,1993,4428
2,350,1993,5132
2,352,1993,5667
2,355,1993,4920
2,359,1993,4958
2,360,1993,4960
2,365,1993,4863
2,366,1993,4329
2,367,1993,4398
2,368,1993,4522
2,369,1993,4871
2,370,1993,4628
2,371,1993,5849
2,372,1993,5780
2,373,1993,6023
2,375,1993,4308
2,380,1993,4125
2,385,1993,3875
2,390,1993,4049
2,395,1993,2806
2,402,1993,3630
2,403,1993,5874
2,404,1993,4181
2,411,1993,5836
2,420,1993,4060
2,432,1993,4553
2,433,1993,3963
2,434,1993,5386
2,435,1993,3903
2,436,1993,5061
2,437,1993,4947
2,438,1993,4381
2,439,1993,4913
2,450,1993,4676
2,451,1993,4452
2,452,1993,5274
2,461,1993,5326
2,471,1993,5978
2,475,1993,5515
2,481,1993,6018
2,482,1993,6335
2,483,1993,5810
2,484,1993,6533
2,490,1993,6538
2,500,1993,7256
2,501,1993,7550
2,510,1993,7928
2,516,1993,7251
2,517,1993,7225
2,520,1993,7828
2,522,1993,7253
2,530,1993,7132
2,531,1993,6870
2,540,1993,6621
2,541,1993,8344
2,551,1993,7705
2,552,1993,7951
2,553,1993,7942
2,560,1993,7906
2,565,1993,7406
2,570,1993,8197
2,571,1993,7943
2,572,1993,8280
2,580,1993,8879
2,581,1993,8351
2,590,1993,9459
2,591,1993,8648
2,600,1993,3820
2,615,1993,4225
2,616,1993,4565
2,620,1993,4855
2,625,1993,6550
2,630,1993,6330
2,640,1993,5425
2,645,1993,6199
2,651,1993,5814
2,652,1993,5868
2,660,1993,5818
2,663,1993,5927
2,666,1993,5905
2,670,1993,6747
2,679,1993,7115
2,690,1993,6545
2,692,1993,6814
2,694,1993,6902
2,696,1993,7055
2,698,1993,7257
2,700,1993,6929
2,701,1993,6425
2,702,1993,6667
2,703,1993,6519
2,704,1993,6507
