"ccode1","ccode2"
2,345
42,365
52,365
92,365
200,531
211,212
211,212
212,211
212,211
255,531
310,345
339,345
345,2
345,310
345,339
345,346
345,355
345,360
345,710
346,345
355,345
360,345
365,42
365,52
365,92
365,402
365,404
365,434
365,461
365,481
365,482
365,483
365,490
365,517
365,520
365,531
365,553
365,570
365,571
365,572
365,590
365,760
365,775
365,940
365,950
402,365
404,365
434,365
461,365
481,365
482,365
483,365
490,365
517,365
520,365
522,531
530,531
530,531
531,200
531,255
531,365
531,522
531,530
531,530
531,625
531,710
531,740
540,565
553,365
560,565
560,570
560,571
560,572
565,540
565,560
565,571
570,365
570,560
571,365
571,560
571,565
572,365
572,560
590,365
625,531
652,666
660,666
666,652
666,660
700,704
704,700
710,345
710,531
740,531
740,760
760,365
760,740
775,365
940,365
950,365
