Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Arab World,ARB,,,,,,,,,,,,,,,,,12.90584661,8.78884792,1.466951385,9.731022604,9.069232617,4.250932698,-3.520047828,-2.038591509,1.787152489,0.247636053,0.381485297,-0.281323735,4.590238132,1.798466908,7.739662601,5.444358765,4.227747545,2.834805012,3.617673171,2.845695855,4.597196657,3.67023554,4.323457808,2.46814223,4.79112134,1.87362689,1.880553909,5.507545312,7.138144207,5.438940486,6.026582048,4.661868872,5.537571655,2.006500791,4.442096101,5.269543931,
Caribbean small states,CSS,,,,,,,,4.034711679,6.052216935,5.596464073,5.472532964,2.084473094,8.408194092,-0.597092344,-3.68564668,-1.234857237,-0.15199808,3.974410602,6.252721236,4.957307322,3.453111499,0.700055382,2.095685197,-2.308795827,0.746678304,-0.850860326,1.34980382,1.722532135,2.112843893,4.653482166,1.603725624,1.547779653,-0.253766221,3.113151353,2.713387801,2.855512321,2.513614743,1.991238594,2.910418994,3.665814851,3.558944247,1.721371027,4.046010199,6.684555601,5.001861132,4.437843798,7.914401891,3.628262599,1.433028809,-3.449050939,,,
East Asia & Pacific (all income levels),EAS,,7.723525938,7.013206054,8.178364314,10.93270973,6.341611404,9.631571472,9.335989184,11.18746826,11.9655445,1.219659238,5.085510743,7.805406018,7.967964403,-0.026903893,3.3955295,4.386445889,5.08062578,5.734819567,5.755290839,3.310941566,4.487094108,3.816015586,3.793003692,5.416632079,6.149151988,4.060666901,5.325215309,7.5504316,5.517096788,5.628274712,4.24229432,2.795622871,2.735870056,3.474362734,4.017799949,4.26369232,3.227989418,-1.057561508,2.316464301,4.155043679,1.940705154,2.933878116,3.666746298,4.633524001,4.099115284,4.845090856,5.696543952,2.482289418,-0.309148668,6.713227984,3.356120555,
East Asia & Pacific (developing only),EAP,,-12.86921523,-0.577760792,6.878200512,9.711155119,10.45886547,8.259314299,-0.868729911,1.943805224,11.13356561,13.24217879,6.457615005,5.082625758,8.82808997,4.037111974,6.777998597,3.095281946,7.63797663,9.707047006,7.086517787,7.142140713,5.597646871,6.278373187,8.293976853,9.424446224,7.571081747,6.943141947,9.184972224,10.10908948,6.044205775,5.493185597,8.207923104,11.0290516,11.27732735,11.03805316,9.890391847,9.023998456,7.290249499,2.218242935,6.275266468,7.533855216,6.65510278,7.883733089,8.811273412,9.031585787,9.755068445,10.9003956,12.28173799,8.480011533,7.46392969,9.693595633,8.300483847,
Euro area,EMU,,6.620263549,6.354993275,5.709692776,5.502631255,4.924182109,5.239392111,5.238259786,5.484732885,6.938961974,5.6130589,3.786845257,4.815994286,6.191461373,3.291208337,-0.800709672,5.037997698,3.083505448,3.100638343,3.859943257,2.255330896,0.513071391,0.696379727,1.386506764,2.366874411,2.299796571,2.481471401,2.455556915,4.264623162,4.042654587,3.523579576,2.565636391,1.341119492,-0.704923242,2.463133692,2.417430386,1.550916237,2.603224411,2.786895864,2.884141658,3.776831974,1.973797714,0.913251741,0.709436918,2.192967015,1.673434502,3.247393847,2.995490163,0.38066578,-4.44178433,2.104119206,1.509759119,
Europe & Central Asia (all income levels),ECS,,5.24185442,4.728114989,5.109731918,5.533325419,4.464334186,4.316928965,4.377390611,4.930020904,5.47706512,5.719722444,3.431942221,4.567002626,6.192758478,2.378210299,-0.363907765,4.655977857,2.855871539,3.088571461,3.57082506,1.360115941,0.364161827,1.018874882,1.908413403,2.720503888,2.634303406,2.886969401,2.921122555,4.046396849,3.385507554,2.476021204,0.658736409,0.0026912,-0.498879039,1.852990903,2.453525189,1.887352911,2.891601902,2.688673928,2.807223852,4.129278493,2.031447001,1.55050871,1.76666644,2.994937112,2.504931731,3.682134108,3.57967472,0.617074733,-4.343543628,2.547882778,1.949502808,
Europe & Central Asia (developing only),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.970788662,-5.024354127,-9.612305485,-4.354957052,-9.355425955,0.250139734,1.32912568,3.543294894,-0.656272384,1.19963685,7.509403996,1.54994006,5.478291356,6.528893749,8.416929984,7.230152921,7.944693996,7.261328668,3.865547373,-6.046403238,5.84494784,5.768468105,
European Union,EUU,,5.329522663,4.74647704,5.035095037,5.541941315,4.485828895,4.143671554,4.330970723,4.950754379,5.540698395,5.854679369,3.348643243,4.49893939,6.280081929,2.279717382,-0.614137913,4.505361753,2.811086301,3.105795573,3.651273682,1.382520776,0.188030431,1.052817981,1.846224869,2.554615881,2.508104751,2.808131483,2.81695345,4.205781431,3.500480241,2.754949121,1.22430055,0.897364579,-0.197369221,2.907685471,2.700941921,1.901353883,2.755223896,2.941158086,2.979008408,3.883714393,2.121127424,1.294405516,1.453661388,2.536135892,2.066223347,3.30986339,3.227945282,0.276653559,-4.333580244,2.203070138,1.5210051,
Heavily indebted poor countries (HIPC),HPC,,1.098567162,6.330444123,3.47693085,4.282478628,4.48126578,3.210863806,2.66516692,2.793611003,4.315229227,4.296802585,4.080434881,2.227575925,2.925199126,5.749472581,2.875236319,4.512877736,4.371461976,2.721733717,-0.210987199,-0.368469116,3.929945009,1.16206943,0.604851727,0.955474637,0.889539796,2.921582295,3.265718454,0.852207827,2.146421101,-0.546964735,0.736024281,-0.546248004,1.266038719,-0.232131222,4.926025362,5.404988607,4.608104079,3.680309152,3.28237414,3.007254469,4.523806313,3.510095354,3.934455476,5.615089344,5.849985333,6.148741841,5.961912652,5.875495434,3.965416272,5.441273711,4.988171316,
High income,HIC,,4.73779347,5.9805379,5.338451983,6.694985962,5.70868704,6.345589791,4.661724385,6.377302855,5.910246975,2.091165303,3.851319317,5.773591798,6.584264223,0.906897735,0.477791246,4.9683555,4.028287968,4.494807686,4.037192422,1.313902436,2.157074601,0.215688945,2.996104228,4.823087626,3.934096434,3.197336666,3.413940144,4.891290266,4.003742821,3.23312036,1.364962906,2.048027432,1.437919689,3.189592841,2.686898383,2.962120929,3.361460747,2.284008303,3.297026426,3.938563967,1.353348689,1.572133615,2.104777243,3.158232515,2.574992215,2.930030248,2.673871614,0.063904699,-3.7266382,3.281464006,1.534647944,
