"Country Name",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5150441045.96251,5585352694.99463,5644309209.65299,6275076015.72254,6623602374.80935,7533698917.3451,7805768540.14052,9446591724.80022,10243250245.6998,10869490318.0945,12438473123.0088,12965089846.1281
Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4951266266.52649,5235747968.66289,5390129064.52419,5449686664.58926,5381478568.85789,5477303541.62696,5786072462.19818,5740487316.3376,5658970118.73034,6215617487.03928,5620432320.34716,3957402731.84429,3672469735.15149,4025026829.72605,4359104056.59331,4938864896.12022,5388301601.66715,4838694838.2971,5453209082.76084,6003983200.11968,6442273973.72842,6893233151.88941,7093136913.2942,7497445717.35197,7939795014.67574,8376483740.48289,8795307927.50704,9314231095.22996,10031426889.5627,10362463976.9182,10725150216.1103,11046904722.5937,11190513070.6404,11335995639.7463
Algeria,19911948120.1595,17202839689.2304,13816453510.1075,18557393904.6949,19641036764.6974,20860135942.8923,19857812474.6614,21734964028.8977,24081522597.5248,26112384902.5303,28426636033.1916,25205409493.9245,32117733280.9478,33342439058.777,35841427455.2504,37649749897.138,40807342747.4324,42953231930.9303,46911301696.16,50419247460.6829,50817865550.6529,52342399518.9327,55692315260.5897,58699701965.2324,61986883225.8087,64280396214.3454,64537518434.5405,64085757414.3379,63444896304.8473,66236473115.4099,66766365310.2286,65965168516.6105,67152543076.7696,65742339164.912,65150660371.9758,67626382084.4743,70399062720.0758,71173452358.7597,74803300996.026,77197007775.6057,78895342489.7804,82534408893.2112,87156335791.2309,93431591968.1994,97449150422.8319,103198650297.779,104953027352.841,108521430282.838,110691858888.495,112462906113.99,116511760871.09,119774111440.802,123726646798.413,127067178698.88
"American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699385987.157271,731903753.468314,791552048.211485,853201805.718692,901141387.48898,906027405.330311,935960661.342837,962528600.201205,976610426.476732,977016174.099421,998595805.312867,997272978.390913,1009703604.44129,1027576527.54868,1045915558.09969,1070195816.86426,1105012729.40414,1166309140.1777,1225724709.3203,1284890812.16028,1333477589.52896,1367427937.50476,1380134288.24862,1365898317.42486,1398450341.62112,1437012525.56647,1503829899.92026,1640192292.21843,1692592958.16913,1761973717.02897,1782514578.69983,1992321406.34475,2109356388.69983,2251830449.72355,2397857378.52344,2539759285.92747,2712207294.34302,2750939553.73832,2849168375.3456,NA,NA,NA,NA,NA
Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13636722325.2289,14018550550.3353,15126016043.8119,15973072942.2653,16036965234.0344,15988854338.3322,15796988086.2723,14706995908.3195,11074367918.9646,11461970796.1283,12654015758.9256,14071265523.9254,15182895500.3154,16216055421.1401,16741423131.3778,17245687548.865,17973622009.894,20457898752.9652,21531441232.8974,23873946857.3177,28233699240.3249,34087962368.9544,41789491878.9603,47563587328.1159,48711254651.216,50371160616.4727,52344988208.5008,55060988603.4003,57296149511.4773
"Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273410888.451625,284850722.017774,305768932.747023,332049974.187857,345609975.124541,346188184.448763,362384213.2866,397729793.360275,429509646.471921,484140795.021596,524146190.052606,552564360.20294,584463251.075316,599338436.049338,611543597.882403,616730611.163782,649973021.486825,691100876.207411,662234817.865604,706866540.547292,741402946.839319,774081551.370909,805986138.350701,847090613.762885,820661180.580312,844419519.961818,900017957.87287,944232248.745698,1001970945.08233,1137617185.60661,1238823622.9304,1239561896.84156,1090430566.78677,1012173532.20356,991870999.646596,1024724188.69332,1031368653.89378
Argentina,76975586667.8403,81153700562.1177,80462253591.4274,76191158797.382,83909549954.2726,92778313910.6339,92166231089.1685,95108174075.1886,99694766523.1395,109344747360.83,112674998377.392,119050297480.541,120988932167.341,124390843355.478,131274389320.06,131237091524.689,128588396913.421,137504906361.127,131308763677.567,144732147975.568,150741082804.109,142164626690.236,135117272354.851,140353233438.335,143457529066.878,132573869431.896,143015095501.293,147176824964.099,143413653536.313,132663094193.261,129480560657.948,145885372325.087,163305215996.158,172951523634.063,183045321661.886,177837298577.122,187665814468.413,202887476427.978,210699007173.527,203565882775.428,201959750154.45,193055668516.41,172023248015.95,187225012600.126,204130632389.902,222907566120.932,241551386422.101,260882480558.176,268975350567.802,269111217501.122,293697869622.226,318823466115.49,321840164828.46,331338333439.479
Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4063285312.0826,3587880992.25967,2088146638.88001,1904389759.87522,2007226860.04357,2145725481.41546,2271580879.85686,2347021891.23198,2518354489.29191,2601460187.43854,2754946338.49741,3018226683.46196,3416219124.68229,3895883450.64161,4303698369.4604,4900436758.50466,5547196574.10036,6309891834.10198,6745274370.65502,5790818813.5638,5918216827.4622,6196373018.35291,6642511875.67432,6874999791.32291
Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1770768140.80774,1792815725.45714,1932914086.16855,2061774158.59611,2085576710.18399,2179720936.61732,2171771586.37375,2124764471.93258,2134650785.68604,2295165261.78181,2322172253.00181,2331005586.59218,2385903552.37897,2298707695.04653,2140526674.99118,2019511954.7664,NA,NA,NA,NA
