"Country Name",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.44416323089565,1.05555580601371,11.1752702171385,5.55413764253301,13.7402049675717,3.61136840986602,21.0206487192376,8.43329048304375,6.11368518168933,14.4347412711931,4.23377305165462
Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74563529454402,2.9485967771042,1.10493829279632,-1.25159665003427,1.78064395394215,5.63724318407066,-0.78784263692515,-1.42003967808201,9.83654899442776,-9.57564019879256,-29.5889976734059,-7.20000000000015,9.60000000000029,8.30000000000001,13.2999999999999,9.09999999999994,-10.2,12.7,10.1,7.30000000000008,6.99999999999991,2.90000000000003,5.69999999999997,5.90000000000006,5.49999999999984,5.00000000000007,5.89999999999999,7.70000000000005,3.3,3.49999999999953,3.0000000000008,1.29998720594548,1.30005271597067
Algeria,NA,-13.6054413891643,-19.6850417739045,34.3137288532046,5.83941293463795,6.20689830582755,-4.80497093103762,9.45296243798998,10.7962385652319,8.43328031598072,8.86265708513292,-11.3317190803228,27.4239694010501,3.81317625100203,7.49491778951159,5.04534157894625,8.38675650946219,5.25858592846717,9.21483573481601,7.47782653153281,0.79060698055997,2.99999606784004,6.4000041504503,5.40000301759922,5.59999650853989,3.69999727229671,0.40000098838495,-0.69999750712573,-1.0000055165881,4.40000216431811,0.80000061883629,-1.20000061392489,1.80000231464599,-2.10000075536301,-0.89999656302459,3.79999480951305,4.09999847712979,1.09999992721932,5.10000360663906,3.20000153429984,2.20000070353935,4.6125237416927,5.59999999999985,7.19999999999985,4.29999999999995,5.90000000000018,1.69999999999983,3.40000000000005,2.00000000000016,1.59997965819602,3.60016906640861,2.80001825165273,3.2999913838345,2.69992922859166
"American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.64947352508656,8.14974570911984,7.78846541380378,5.61878578420341,0.5422032445924,3.30379145668486,2.83857430719901,1.4630034133618,0.04154651759688,2.20872814447901,-0.13246870404579,1.24646173311893,1.77011580713069,1.78468756918375,2.32143585364439,3.25332168106375,5.54712259347585,5.09432423152762,4.82703027768754,3.78139347786195,2.54600064091008,0.92921538278989,-1.03149171388441,2.38319527749557,2.75749397727299,4.64974195875183,9.06767396401666,3.19478796475956,4.09908114794997,1.16578706437775,11.7702727457044,5.87430230796974,6.75438545079321,6.48481011604645,5.91786270004999,6.78993514743939,1.42807150014271,3.57073718591123,NA,NA,NA,NA,NA
Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79999999999994,7.90000000000049,5.59999999999945,0.40000000000029,-0.30000000000011,-1.19999999999966,-6.89999999999985,-24.7000000000001,3.49999999999983,10.3999999999996,11.2000000000003,7.89999999999986,6.8047621140725,3.23979967133555,3.01207617494627,4.22096514833892,13.8217925229741,5.24756962039727,10.8794650533716,18.2615484949481,20.7350198031014,22.5931061136704,13.8170989632508,2.41291161489347,3.40764362803219,3.91856683044671,5.18865413452971,4.05942749080776
"Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.18411776902343,7.3435694953033,8.59506595543418,4.08372293051671,0.167301109875,4.6783886814698,9.75362026759188,7.99031242873443,12.7194229508993,8.26317373838012,5.42180229288358,5.77288243140777,2.54510184287113,2.03643902992725,0.84818372710312,5.39010221339811,6.32762489533883,-4.17682270932971,6.73956147844012,4.88584539102486,4.40767124960901,4.12160539458513,5.0998985536273,-3.12002432244765,2.89502415170976,6.58421988084375,4.91260096379915,6.11488290230864,13.5379415131773,8.89635271023282,0.05959475566151,-12.0309708159619,-7.17670954637779,-2.00583515681984,3.31224413844436,0.64841498559079
Argentina,NA,5.42784287219078,-0.85202149242852,-5.30819682945149,10.1302976338979,10.5694333495942,-0.65972617486338,3.19199662528651,4.822500791914,9.67952599141746,3.04564334084805,5.65813108050452,1.62841649943537,2.81175403997456,5.5338044014302,-0.02841208827121,-2.01825153277612,6.93414776273251,-4.50612479767558,10.222763448571,4.15176235037649,-5.68952800015256,-4.95717851863463,3.87512343331906,2.2117735035346,-7.58667718994927,7.87577983062529,2.90999313619213,-2.55690488546956,-7.49618957328254,-2.39895922424085,12.6697100968505,11.9407747284307,5.90691949369943,5.83620069701163,-2.84520961119388,5.52668982824723,8.11104675760051,3.85017886913404,-3.38545705259286,-0.78899892215738,-4.40883969762817,-10.894484819891,8.83704078344481,9.02957332195962,9.19848898286102,8.36392439503584,8.00289098829434,3.10211325509914,0.05051278231744,9.13624201525565,8.55491274948051,0.9461972011422,2.95120673210015
Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.6999984817524,-41.8000027485614,-8.79999879239085,5.40000279013701,6.89999840719999,5.86540074820616,3.32107969582276,7.3,3.30000000000001,5.89999999999978,9.55664149553445,13.186300532067,14.0407950559649,10.4678418639969,13.8657112514854,13.1980035141409,13.7492019583839,6.90000000000003,-14.1499886386168,2.19999999999996,4.69999999999986,7.19999999999995,3.49999999999982
Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24508591166203,7.81443171889218,6.66662183020206,1.15446939174406,4.51406203251221,-0.36469577871345,-2.16445940890385,0.46528986549114,7.51947237328494,1.17669048367502,0.38039097138251,2.35511944298051,-3.65462624193272,-6.88130206359888,-5.65350208612952,NA,NA,NA,NA
